id,name,full_name,updated_at,created_at,pushed_at,size,stargazers_count,forks_count,open_issues_count,default_branch,head
362904462,spotify-adblock,abba23/spotify-adblock,2022-10-23T17:50:10Z,2021-04-29T18:01:51Z,2022-10-23T12:59:48Z,50,1085,56,15,main,9ba383b7b41c25c960e91732590ec45be0ff4e73
98505208,wslgit,andy-5/wslgit,2022-10-23T07:40:59Z,2017-07-27T07:10:30Z,2022-07-14T06:48:11Z,151,1082,52,16,master,00ccf419b928a1555295e4bd79d3fdc1f1f5e39c
491161925,volo,cloudwego/volo,2022-10-23T15:46:01Z,2022-05-11T15:09:13Z,2022-10-23T07:08:18Z,580,1081,64,11,main,3795abdfd18cec01e04065064b3aa4fe79801756
243965509,sqlite-zstd,phiresky/sqlite-zstd,2022-10-23T06:43:59Z,2020-02-29T12:33:26Z,2022-09-28T12:18:38Z,241,1078,31,9,master,6d8b8b1b2f225b13636128bbe03a69e28adccb6a
32559774,rustyline,kkawakam/rustyline,2022-10-23T17:48:11Z,2015-03-20T03:13:04Z,2022-09-04T09:28:19Z,2075,1073,128,92,master,187d408f321e77ad3decab2824429385eab5c5ca
306484908,LibAFL,AFLplusplus/LibAFL,2022-10-23T12:23:16Z,2020-10-22T23:53:37Z,2022-10-23T18:35:36Z,13904,1071,131,55,main,5b75b6b8acc40b1a8a3521fdda0ba84839b46c00
333174273,krunvm,containers/krunvm,2022-10-22T14:30:07Z,2021-01-26T18:13:28Z,2022-08-16T16:04:16Z,63,1070,28,6,main,e67d0ea06536f0e5559811fe46d240101bd47350
48890305,scraper,causal-agent/scraper,2022-10-23T04:27:15Z,2016-01-01T21:45:09Z,2022-09-06T11:09:33Z,4316,1068,66,7,master,0a6c6f50939635355f12bbc3e28e0365ddc6e950
420489845,moon,moonrepo/moon,2022-10-23T02:48:20Z,2021-10-23T18:18:15Z,2022-10-23T19:31:50Z,53143,1068,24,11,master,a5a841f48baa65a301566efc0eb60f89e7455984
81644132,cargo-web,koute/cargo-web,2022-10-16T05:07:01Z,2017-02-11T09:49:08Z,2022-08-06T05:20:54Z,887,1068,79,107,master,2ddd9bbb567b8d4893e923cba8ad03806d383d80
84517704,h2,hyperium/h2,2022-10-22T13:12:39Z,2017-03-10T04:03:11Z,2022-10-21T21:13:48Z,5646,1067,182,54,master,fcbef502f41cf05c06f1d7b4939fa288d13f7fbc
158295285,vivid,sharkdp/vivid,2022-10-23T15:21:02Z,2018-11-19T21:57:40Z,2022-10-14T22:00:13Z,319,1067,58,13,master,478acd22e4018d75875ad1754c552aca2a456116
282516483,rune,rune-rs/rune,2022-10-20T10:29:51Z,2020-07-25T20:03:40Z,2022-10-23T19:15:31Z,6707,1060,46,58,main,c2aa9786b7d9b6a2d9ebe7aca6b232bab29af2f9
57324032,ritual,rust-qt/ritual,2022-10-22T19:32:51Z,2016-04-28T18:15:59Z,2021-10-07T02:45:14Z,3452,1057,42,39,master,51b38cab65e4dd453a7da920a3bc00da749a8931
237348733,ntex,ntex-rs/ntex,2022-10-23T03:32:25Z,2020-01-31T02:50:12Z,2022-10-20T12:53:13Z,10632,1055,62,5,master,bc51d800ff13216df65fe87eab4a5853814566c1
89560048,incubator-teaclave-sgx-sdk,apache/incubator-teaclave-sgx-sdk,2022-10-23T14:43:56Z,2017-04-27T05:43:24Z,2022-10-22T18:39:45Z,46643,1054,229,74,master,c70a82f708fd20e9fd0377990dde097d14024f7a
